survey,study_group,dietitian_id,user_id,dietitian_participated_in_both_sessions,patient_label,session_index,recommendation_session_id,patient_note,personal_note,num_recommendations,recommendation_index,variant,mode,nutrient,category,text,basket_ids,bad_products,suggestions,notes,Survey ID,Start time,Completion time,Alter,Geschlecht,Arbeitserfahrung als ErnährungsberaterIn (in Jahren),"Ich verwende häufig Software Applikationen (z.B. Nährwertdatenbanken, Ernährungs-Apps, usw.)  in meinem Arbeitsalltag.",Ich halte die DietCoach-Plattform für nützlich.,"Die Nutzung der DietCoach-Plattform ermöglicht es mir, Aufgaben schneller zu erledigen.",Die Nutzung der DietCoach-Plattform steigert meine Produktivität.,Das Erlernen der Nutzung der DietCoach-Plattform fällt mir leicht.,Interaktion mit der DietCoach-Plattform ist klar und verständlich.,Ich finde die DietCoach-Plattform einfach zu nutzen.,"Es fällt mir leicht, die DietCoach-Plattform geschickt zu nutzen.","Ich verfüge über die notwendigen Ressourcen, um die DietCoach-Plattform zu nutzen.",Ich verfüge über die erforderlichen Kenntnisse zur Nutzung der DietCoach-Plattform.,Die DietCoach-Plattform ist mit anderen von mir verwendeten Technologien kompatibel.,"Ich beabsichtige, die DietCoach-Plattform auch in Zukunft zu nutzen, sofern sie verfügbar ist.","Ich werde versuchen, die DietCoach-Plattform bei meiner Arbeit zu nutzen, sofern sie verfügbar ist.","Ich habe vor, die DietCoach-Plattform weiterhin häufig zu nutzen, sofern sie verfügbar ist.",DietCoach zu nutzen macht Spaß,DietCoach zu nutzen ist angenehm,DietCoach zu nutzen ist sehr unterhaltsam,"Ich denke, dass ich die DietCoach-Plattform häufig nutzen möchte.",Ich finde die DietCoach-Plattform unnötig komplex.,Ich finde die DietCoach-Plattform einfach zu bedienen.,"Ich glaube, dass ich die Unterstützung einer technischen Person benötige, um die DietCoach-Plattform nutzen zu können.","Ich finde, dass die verschiedenen Funktionen der DietCoach-Plattform gut integriert waren.","Ich finde, dass die DietCoach-Plattform zu inkonsistent war.","Ich könnte mir vorstellen, dass die meisten Ernährungsberater die DietCoach-Plattform sehr schnell erlernen würden.",Ich finde die DietCoach-Plattform sehr umständlich zu bedienen.,Ich fühlte mich bei der Nutzung der DietCoach-Plattform sehr sicher.,"Ich musste viele Dinge lernen, bevor ich mit der DietCoach-Plattform loslegen konnte.",Die DietCoach-Plattform verbessert mein Verständnis für die Lebensmittelauswahl der Patienten.,Die Bereitstellung von Ernährungsempfehlungen unter Einbezug der tatsächlichen Lebensmittel-Einkaufsdaten der Patienten würde die Qualität der Ernährungsversorgung verbessern.,"Patienten würden mit einer Ernährungsberatung, die auf ihrem tatsächlichen Kaufverhalten basiert, bessere Gesundheitsergebnisse erzielen.","Welcher Prozentsatz Ihrer Patienten könnte Ihrer Meinung nach davon profitieren, wenn Sie die DietCoach-Plattform nutzen?",Mehrpersonenhaushalt,Die Nutzung der Treuekarte wird vorausgesetzt,Es werden nur Einkäufe berücksichtigt,Nur Einkäufe bei Migros und Coop werden berücksichtigt,"Medizinische Diagnose des Patienten (z.B., Diabetes)","Demografie des Kunden (Geschlecht, Alter)","Gibt es noch andere Faktoren, die Ihre Einschätzung der Nützlichkeit von DietCoach beeinflussen?","Ich würde mich dafür einsetzen, dass das DietCoach-System von Versicherungen abgedeckt wird. ","Die DietCoach-Plattform ist wertvoll, im Vergleich zu anderen Tools oder Systemen, die ich in meinem Arbeitsablauf verwende.",Die DietCoach-Plattform könnte zu Kosteneinsparungen in der Patientenversorgung führen.,"Was halten Sie für einen fairen Preis, den potenzielle Zahler, z.B. Patienten oder deren Krankenversicherungen, für die DietCoach-Plattform zu zahlen bereit wären (pro Patient pro Monat in CHF)?",Wie würden Sie DietCoach in Ihrer Arbeit nutzen?,Wie würden Sie DietCoach sonst verbessern? ,Haben Sie weitere Bedenken oder Anmerkungen?
Follow-up Session,IS Bern,63,1,False,IDEAL,2,78,,,1,1.0,VAR1,Erhöhen / Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]","[7613269332688,7623186104077,7613312424773,7613312331125,7610095008442]","[5024121369117,7613312419991,7617027138734,7613312250013]",,2,2024-09-05 12:54:29,2024-09-05 12:59:12,31,Weiblich,6,4.0,5,4,4,5,5,5,4,4,3,3,5,5,4,5,5,5,3,3,4,3,4.0,3.0,4,3,2,3,4,3,4,21-40%,5,5,5,5,3,3,,4,3,4,6,Pat. welche nicht gut sagen können was sie alles essen oder ihr Verhalten nicht ändern können,Durchschnittliche Zahl an Kalorien ersichtlich heruntergebrochen auf Anzhal Personen im Haushalt,Pat. sollte sagen können wenn ein Einkauf nicht beachtet werden sollte (z.B. bei BEsuch oder GEburtstagen eher ungünstig)
Follow-up Session,IS Bern,58,3,True,MINIMUM,2,79,,,0,,,,,,,,,,,3,2024-09-05 12:48:48,2024-09-05 12:59:13,45,Weiblich,16,3.0,4,3,3,5,5,5,5,5,5,4,4,4,4,5,5,5,3,2,4,2,4.0,3.0,4,2,4,2,4,4,4,81-100%,5,5,5,5,3,3,Geburtstage Kinder (Einkauf); Gästeessen; ,3,3,3,5,"Der Fortschritt ist noch sinnvoll, Kuchendiagramm nicht verständlich für Pat.",Kuchendiagramm bezieht sich auf Gesamtkalorien nicht auf Anz. Portionen zB Gemüse,Pat. kann beeinflussen was mit der Karte erfasst wird und was nicht (underreporting?)
Follow-up Session,IS Bern,51,2,True,MEDIAN,2,76,,,2,1.0,VAR1,Reduzieren,Proteine,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7613404361436,7616700001419,7616700006773,7614800891008]","[5700626503125,7610100524387,7610100727030,7613404451922,7613404655757]",,4,2024-09-05 12:51:51,2024-09-05 12:59:59,25,Weiblich,1,3.0,5,4,4,6,5,5,5,6,6,4,4,4,4,5,5,4,3,2,4,2,4.0,3.0,4,2,4,2,4,3,4,0-20% ,4,3,4,3,3,3,,2,3,3,1,Zur Einkaufsberatung,,
Follow-up Session,IS Bern,51,2,True,MEDIAN,2,76,,,2,2.0,VAR1,Reduzieren,Proteine,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-481069297712236915"",""https://interactions.ics.unisg.ch/foodcoach#Basket-128084485617748339"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4695258687055071603"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2571099655857501837""]","[7613404361436,7616700001419,7616700006773,7614800891008]","[5700626503125,7610100524387,7610100727030,7613404451922,7613404655757]",,4,2024-09-05 12:51:51,2024-09-05 12:59:59,25,Weiblich,1,3.0,5,4,4,6,5,5,5,6,6,4,4,4,4,5,5,4,3,2,4,2,4.0,3.0,4,2,4,2,4,3,4,0-20% ,4,3,4,3,3,3,,2,3,3,1,Zur Einkaufsberatung,,
Follow-up Session,IS Bern,54,3,True,MINIMUM,2,48,,,2,1.0,VAR1,Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]",[7613312372746],"[7617027113410,7616800400655]",,5,2024-09-05 12:47:41,2024-09-05 13:00:11,26,Weiblich,2,2.0,2,2,2,6,5,5,6,5,5,4,3,3,2,4,4,4,2,3,4,3,2.0,2.0,4,2,3,2,3,3,2,0-20% ,5,3,5,5,3,3,"wo gehen die Pat. sonst noch einkaufen? (beim Bauern/Volg etc.), für wen werden die Lebensmittel wirklich gebraucht (Kuchen backen fürs Geschäft z.B.)",2,2,1,2,Bei Adipositas/Typ 2 Diabetes um gewisse Lebensmittel (insb. Lebensmittelverpackungen) zu beurteilen (Zucker/Fettgehalt z.B.),Farben anhand der Lebensmittelpyramide anpassen,
Follow-up Session,IS Bern,54,3,True,MINIMUM,2,48,,,2,2.0,VAR1,Reduzieren,Kohlenhydrate,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]",[7613312372746],"[7617027113410,7616800400655]",,5,2024-09-05 12:47:41,2024-09-05 13:00:11,26,Weiblich,2,2.0,2,2,2,6,5,5,6,5,5,4,3,3,2,4,4,4,2,3,4,3,2.0,2.0,4,2,3,2,3,3,2,0-20% ,5,3,5,5,3,3,"wo gehen die Pat. sonst noch einkaufen? (beim Bauern/Volg etc.), für wen werden die Lebensmittel wirklich gebraucht (Kuchen backen fürs Geschäft z.B.)",2,2,1,2,Bei Adipositas/Typ 2 Diabetes um gewisse Lebensmittel (insb. Lebensmittelverpackungen) zu beurteilen (Zucker/Fettgehalt z.B.),Farben anhand der Lebensmittelpyramide anpassen,
Follow-up Session,IS Bern,0,0,False,MINIMUM,0,0,,,0,,,,,,,,,,,6,2024-09-05 12:47:36,2024-09-05 13:00:13,24,Weiblich,1,4.0,3,4,3,5,5,5,5,5,6,4,3,5,3,4,5,4,2,2,4,1,4.0,2.0,4,2,4,2,4,3,2,21-40%,4,5,5,5,4,2,,2,1,2,3,"Eher nein, aber würde es in Erinnerung behalten und bei passenden Patienten/innen einsetzen ",,
Follow-up Session,IS Bern,56,3,True,MINIMUM,2,77,,,1,1.0,VAR1,Erhöhen,Nahrungsfasern,Gemüse,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-1609071625471029609"",""https://interactions.ics.unisg.ch/foodcoach#Basket-1137587334240039273"",""https://interactions.ics.unisg.ch/foodcoach#Basket-870672520001122665"",""https://interactions.ics.unisg.ch/foodcoach#Basket--1830013571537538711"",""https://interactions.ics.unisg.ch/foodcoach#Basket--2452600176655961751"",""https://interactions.ics.unisg.ch/foodcoach#Basket--5773185894528028311"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4819903044686475625"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4467004909326987625""]",[],[],,7,2024-09-05 12:48:16,2024-09-05 13:00:14,25,Weiblich,2,4.0,5,4,5,7,6,7,6,7,7,6,5,5,5,6,7,6,3,1,5,1,4.0,1.0,5,1,5,1,4,4,4,0-20% ,5,5,4,5,4,5,,2,4,3,3,Als Tool in Beratungen zu den Themen Adipositas/Typ 2 Diabetes wenn z.B. versteckte Zucker-Quellen oder eine zu hohe Aufnahme an KH/Fett thematisiert wird und alternative Produkte gesucht werden sollen.,"Fände es wichtig, dass bei Mehrpersonenhaushalte die demografische Daten des gesamten Haushalts erfasst wird. So lassen sich die Einkäufe besser interpretieren.",
Follow-up Session,IS Bern,49,1,False,IDEAL,2,80,,,2,1.0,VAR2,Reduzieren,,Snacks,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]",[],[],,9,2024-09-05 12:48:21,2024-09-05 13:00:57,30,Weiblich,6,4.0,2,1,1,6,5,5,2,3,4,2,1,2,1,2,2,2,1,3,4,2,3.0,2.0,4,4,3,2,2,2,2,0-20% ,5,5,5,5,2,2,was wird tatsächlich gegessen und was wird nur gekauft? wird z.b. für ein Fest oder Besuch eingekauft?,1,1,1,3,aktuell gar nicht,für alle Läden verfügbar statt nur Migros und Coop,allg. Einsatzgebiete unklar. Einkauf vs. Verzehr. 
Follow-up Session,IS Bern,49,1,False,IDEAL,2,80,,,2,2.0,VAR2,Erhöhen,,Gemüse,,"[""https://interactions.ics.unisg.ch/foodcoach#Basket-4155863023014556223"",""https://interactions.ics.unisg.ch/foodcoach#Basket-4040050522663072319"",""https://interactions.ics.unisg.ch/foodcoach#Basket-3536050073416151615"",""https://interactions.ics.unisg.ch/foodcoach#Basket-716777826005987903"",""https://interactions.ics.unisg.ch/foodcoach#Basket-331276855895568959"",""https://interactions.ics.unisg.ch/foodcoach#Basket--21621279463919041"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3075292183097068993"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3107808341112999361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3226307820249501121"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3344893976121003457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3697792111480491457"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3813604611831975361"",""https://interactions.ics.unisg.ch/foodcoach#Basket--3967393904504425921"",""https://interactions.ics.unisg.ch/foodcoach#Basket--6783979173129571777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7018377829352558017"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7136877308489059777"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7169480143239990721"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7287979622376492481"",""https://interactions.ics.unisg.ch/foodcoach#Basket--7406479101512994241"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7870781568211923519"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7835491754675974719"",""https://interactions.ics.unisg.ch/foodcoach#Basket-7097092649206067775""]",[],[],,9,2024-09-05 12:48:21,2024-09-05 13:00:57,30,Weiblich,6,4.0,2,1,1,6,5,5,2,3,4,2,1,2,1,2,2,2,1,3,4,2,3.0,2.0,4,4,3,2,2,2,2,0-20% ,5,5,5,5,2,2,was wird tatsächlich gegessen und was wird nur gekauft? wird z.b. für ein Fest oder Besuch eingekauft?,1,1,1,3,aktuell gar nicht,für alle Läden verfügbar statt nur Migros und Coop,allg. Einsatzgebiete unklar. Einkauf vs. Verzehr. 
